id,state_nm,country,Meal,Meal2,McMeal,Domestic_Beer,Imported_Beer,Cappuccino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese
203,19,Ch,13.41,67.06,8.72,6.04,6.04,3.29,2.47,1.96,1.29,2.08,1.9,3.17,7.38
204,21,Ch,3.67,30.61,4.28,1.59,3.06,1.64,0.38,0.18,0.71,0.46,0.74,0.85,3.72
205,21,Ch,2.4,25.67,4.28,0.68,1.37,1.4,0.49,0.17,1.08,0.59,0.86,0.97,6.68
206,20,Do,5,20,7,2.25,2.95,2.32,0.52,0.29,1.53,0.76,2.12,2.02,6.1
207,20,Do,7.07,36.1,5.05,3.18,4.11,2.87,0.99,0.77,1.51,1.66,2.43,1.69,21.66
208,19,Do,1.91,19.07,3.18,2.77,3.5,1.75,0.47,0.24,1.23,1.09,0.89,1.39,8.9
209,21,Do,18.24,85.62,8.93,5.21,6.7,3.77,1.95,1.78,2.23,2.62,3.45,3.64,12.47
210,19,Do,1.91,13.35,3.18,2.86,4.13,1.79,0.59,0.27,1.28,1.04,0.8,1.7,8.42
211,21,Do,1.43,12.71,3.18,2.02,3.18,1.44,0.45,0.27,1.13,1.05,0.79,1.22,6.66
212,20,Do,15,69,8,5,6.5,3.78,2.17,1.58,1.04,3.13,6.11,3.34,12.49
213,20,Do,5.88,29.41,5.88,1.18,2.35,2.84,0.52,0.32,1.24,0.41,1.85,1.31,4.23
214,19,Do,7,40,6,1.3,2,2.2,0.72,0.47,1.61,1,1.51,1.8,8.08
215,23,Do,10,40,7,2.5,3,1.91,2.28,1.63,3.52,1.18,1.85,1.64,4.85
216,21,Do,4.54,23.05,5.45,0.56,4.19,3.45,0.37,0.3,2.23,2.68,1,1.5,16.59
217,20,Ch,17,70,8,7,5.5,3.88,2.83,2.06,0.98,3.04,4.61,3.81,13
218,19,In,14.5,65,9,5.5,8,4.47,2.28,1.69,0.81,4.08,3.92,3,11.01
219,25,Eg,16,75,8,6,7,4.89,2.43,2.07,0.94,3.36,5.85,3.68,14.21
220,21,Au,3.6,30,6.5,1,2.88,2.9,0.98,0.66,2.19,1.79,1.09,1.87,12.86
221,20,Sp,1.91,9.85,2.54,1.91,3.18,1.11,0.64,0.32,1.14,1.27,0.76,1.16,4.03
222,20,Un,1.23,8.91,2.67,2.23,4.46,1.69,0.23,0.18,0.61,0.47,0.84,0.86,5.2
223,20,Ch,4.54,34.92,6.98,1.75,4.19,4.71,0.59,0.38,1.82,1.4,0.61,1.68,6.29
224,16,Ch,1.21,20.03,5.21,0.81,1.62,1.89,0.43,0.27,1.34,0.59,0.99,1.36,10.48
225,18,Ch,2.45,15.92,4.28,2.94,4.28,1.65,0.72,0.19,0.74,0.55,0.62,0.95,4.31
226,20,Ch,17.5,65,8.5,5,7.25,5.48,2.35,1.95,0.98,3.22,4.53,3.14,11.14
227,19,Do,2,18,5.5,7,17.5,1.25,0.68,0.54,1.58,0.91,1.17,1.98,4.25
228,19,Do,17,70,8,7,5.5,3.88,2.83,2.06,0.98,3.04,4.61,3.81,13
229,20,Do,6.98,11.17,5.24,0.7,2.1,1.68,0.42,0.28,1.75,0.42,0.98,1.68,4.25
230,16,Do,3.5,42.5,7,2.5,3.5,2.53,0.78,0.62,0.95,1.69,1.3,1.67,5.34
231,19,Do,0.98,6.68,3.34,2.23,4.46,1.34,0.19,0.18,0.61,0.45,0.79,0.95,4.29
232,18,Do,16.77,67.06,9.36,6.71,6.71,3.3,2.47,2.12,1.59,1.92,1.8,4.01,7.27
233,20,Do,1.71,10.95,4.28,0.44,0.68,0.52,0.33,0.08,1.14,0.82,1.82,0.99,4.79
234,18,Do,3.06,10.41,3.67,1.84,3.49,1.09,0.39,0.19,0.67,0.42,0.79,0.9,4.79
235,18,Do,7.94,28.88,4.62,2.71,2.17,3.25,0.87,0.69,1.1,1.06,14.44,1.44,7.22
236,19,Do,9.89,43.8,5.14,1.25,1.98,1.76,0.82,0.52,0.81,0.63,1.48,1.44,7.08
237,19,Do,1.12,10.48,4.54,0.7,1.68,3.14,0.65,0.33,1.68,1.4,0.98,1.68,13.97
238,20,Do,1.34,10.02,3.56,1.56,2.23,0.91,0.2,0.13,0.57,0.45,0.74,0.91,3.63
239,20,Do,10.38,45.4,5.71,2.59,4.15,3.4,1.04,0.62,1.24,1.71,1.22,1.54,4.31
240,22,Do,4.72,51.68,4.83,2,3,2.88,0.77,0.62,1.91,0.75,0.93,2.46,15.63
241,19,Ch,3,17,3,0.85,1,1.03,0.4,0.33,0.65,0.87,2.63,1.06,2.38
242,16,In,10,50,10,1.5,2.25,1.74,1.07,0.81,1.83,2.33,1.13,2.07,5.31
243,17,Eg,3,51.68,4.19,2,2.25,3.49,0.35,0.21,2.1,0.87,1.4,2.07,27.94
244,16,Au,1.96,9.49,4.28,1.84,2.75,2,0.58,0.22,0.67,0.47,0.65,0.88,4.59
245,21,Sp,18,63.5,9.29,6,7,4.65,2.41,1.63,1.24,4.41,5.68,4.04,14.01
246,18,Un,6.32,31.58,5.26,1.26,2.53,1.96,0.72,0.38,1,0.31,0.95,1.32,6.33
247,21,Ch,15.58,62.32,9.35,4.67,4.21,3.8,2.99,2.31,1.33,1.91,1.9,3.64,11.69
248,20,Ch,5.82,14.69,3.06,2.63,4.28,2.45,0.38,0.23,0.72,0.51,0.75,0.9,6.12
249,19,Ch,3.37,28.91,4.82,0.77,1.35,2.18,0.67,0.35,0.67,0.53,0.8,0.92,13.97
